目标变量,预测天数,best_baseline_name,selection_metric,selection_rule,validation_row_count,validation_±2h 命中率,validation_普通小时误差,validation_环形小时误差,validation_Top-1 accuracy,validation_±1h 命中率
HUFL,1,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.5636363636363636,9.254545454545454,2.6,0.2818181818181818,0.4727272727272727
HUFL,2,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.6,8.054545454545455,2.290909090909091,0.3363636363636363,0.5272727272727272
HUFL,3,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.6090909090909091,8.527272727272727,2.4727272727272727,0.2636363636363636,0.5
HUFL,4,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.5909090909090909,8.554545454545455,2.3363636363636364,0.3,0.509090909090909
HUFL,5,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.5181818181818182,9.845454545454546,2.9363636363636365,0.1727272727272727,0.4363636363636363
HUFL,6,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.509090909090909,9.954545454545457,2.809090909090909,0.2181818181818181,0.4454545454545454
HUFL,7,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.5454545454545454,9.290909090909093,2.763636363636364,0.2727272727272727,0.5
HUFL,8,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.509090909090909,9.854545454545455,2.7818181818181817,0.2181818181818181,0.4545454545454545
HUFL,9,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.5,10.181818181818182,2.8181818181818183,0.2454545454545454,0.4545454545454545
HUFL,10,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.5272727272727272,10.045454545454543,2.772727272727273,0.2181818181818181,0.4454545454545454
HUFL,11,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4363636363636363,11.127272727272729,3.2,0.209090909090909,0.3909090909090909
HUFL,12,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4272727272727272,11.6,3.2181818181818183,0.1727272727272727,0.3818181818181818
HUFL,13,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4636363636363636,10.818181818181818,3.0,0.1818181818181818,0.4272727272727272
HUFL,14,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4818181818181818,9.11818181818182,2.9727272727272727,0.2636363636363636,0.4363636363636363
HULL,1,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4818181818181818,5.109090909090909,4.709090909090909,0.1,0.3454545454545454
HULL,2,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.5,4.972727272727273,4.554545454545455,0.1363636363636363,0.3818181818181818
HULL,3,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4454545454545454,5.118181818181818,4.863636363636363,0.1272727272727272,0.3181818181818182
HULL,4,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3727272727272727,5.3,5.009090909090909,0.1,0.2818181818181818
HULL,5,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3454545454545454,5.672727272727273,5.381818181818182,0.0818181818181818,0.2818181818181818
HULL,6,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3636363636363636,5.918181818181818,5.5181818181818185,0.0636363636363636,0.2363636363636363
HULL,7,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3636363636363636,6.0,5.472727272727273,0.0545454545454545,0.2272727272727272
HULL,8,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3818181818181818,6.045454545454546,5.427272727272728,0.0909090909090909,0.2272727272727272
HULL,9,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3636363636363636,5.963636363636364,5.4363636363636365,0.109090909090909,0.2636363636363636
HULL,10,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4090909090909091,5.554545454545455,5.063636363636364,0.1636363636363636,0.3272727272727272
HULL,11,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3818181818181818,5.590909090909091,5.136363636363637,0.1454545454545454,0.2909090909090909
HULL,12,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4,6.427272727272728,5.390909090909091,0.1,0.2181818181818181
HULL,13,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3545454545454545,5.990909090909091,5.4818181818181815,0.109090909090909,0.2363636363636363
HULL,14,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3727272727272727,5.9,5.372727272727273,0.1363636363636363,0.2727272727272727
LUFL,1,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.5,4.718181818181818,3.4272727272727272,0.3727272727272727,0.4909090909090909
LUFL,2,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4909090909090909,4.945454545454545,3.527272727272728,0.3545454545454545,0.4727272727272727
LUFL,3,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4272727272727272,6.072727272727272,4.1454545454545455,0.3,0.4090909090909091
LUFL,4,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4181818181818181,6.463636363636364,4.154545454545454,0.3090909090909091,0.4
LUFL,5,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3909090909090909,7.163636363636364,4.254545454545455,0.2636363636363636,0.3636363636363636
LUFL,6,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3636363636363636,6.7,4.009090909090909,0.1727272727272727,0.3090909090909091
LUFL,7,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3818181818181818,7.69090909090909,4.327272727272727,0.2363636363636363,0.3727272727272727
LUFL,8,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3363636363636363,7.863636363636363,4.7,0.209090909090909,0.3181818181818182
LUFL,9,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3090909090909091,5.709090909090909,5.709090909090909,0.1636363636363636,0.3
LUFL,10,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3,5.754545454545455,5.754545454545455,0.1545454545454545,0.2909090909090909
LUFL,11,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3,7.1909090909090905,4.718181818181818,0.1272727272727272,0.2454545454545454
LUFL,12,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3090909090909091,7.127272727272727,4.963636363636364,0.1272727272727272,0.2636363636363636
LUFL,13,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3,5.681818181818182,5.681818181818182,0.1636363636363636,0.2909090909090909
LUFL,14,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3,5.7,5.7,0.1636363636363636,0.2909090909090909
LULL,1,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4909090909090909,4.445454545454545,3.9727272727272727,0.1454545454545454,0.3636363636363636
LULL,2,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4818181818181818,4.754545454545455,4.1909090909090905,0.0363636363636363,0.3363636363636363
LULL,3,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4727272727272727,4.845454545454546,4.281818181818182,0.0363636363636363,0.3363636363636363
LULL,4,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4636363636363636,4.963636363636364,4.363636363636363,0.0363636363636363,0.3272727272727272
LULL,5,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4636363636363636,5.063636363636364,4.427272727272728,0.0363636363636363,0.3272727272727272
LULL,6,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4545454545454545,5.109090909090909,4.472727272727273,0.0363636363636363,0.3181818181818182
LULL,7,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4454545454545454,5.227272727272728,4.572727272727272,0.0272727272727272,0.3090909090909091
LULL,8,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4454545454545454,5.227272727272728,4.572727272727272,0.0272727272727272,0.3090909090909091
LULL,9,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4363636363636363,5.254545454545455,4.6,0.0272727272727272,0.3
LULL,10,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4363636363636363,5.254545454545455,4.6,0.0272727272727272,0.3
LULL,11,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4272727272727272,5.363636363636363,4.672727272727273,0.0272727272727272,0.3
LULL,12,weekday_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4363636363636363,5.909090909090909,4.709090909090909,0.0363636363636363,0.3
LULL,13,weekday_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4363636363636363,5.818181818181818,4.672727272727273,0.0363636363636363,0.3
LULL,14,weekday_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4363636363636363,5.8090909090909095,4.663636363636364,0.0454545454545454,0.3
MUFL,1,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.7454545454545455,7.136363636363637,1.7181818181818185,0.3363636363636363,0.6727272727272727
MUFL,2,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.7545454545454545,7.090909090909091,1.6727272727272726,0.3454545454545454,0.6818181818181818
MUFL,3,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.7545454545454545,7.090909090909091,1.6727272727272726,0.3454545454545454,0.6818181818181818
MUFL,4,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.7545454545454545,7.3,1.681818181818182,0.3363636363636363,0.6818181818181818
MUFL,5,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.7545454545454545,7.5,1.681818181818182,0.3363636363636363,0.6818181818181818
MUFL,6,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.7545454545454545,7.5,1.681818181818182,0.3363636363636363,0.6818181818181818
MUFL,7,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.7636363636363637,7.681818181818182,1.6636363636363636,0.3363636363636363,0.6909090909090909
MUFL,8,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.7545454545454545,7.709090909090909,1.690909090909091,0.3272727272727272,0.6818181818181818
MUFL,9,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.7545454545454545,7.909090909090909,1.690909090909091,0.3272727272727272,0.6818181818181818
MUFL,10,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.7545454545454545,7.918181818181818,1.7,0.3181818181818182,0.6818181818181818
MUFL,11,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.7545454545454545,7.909090909090909,1.690909090909091,0.3272727272727272,0.6818181818181818
MUFL,12,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.7636363636363637,7.872727272727273,1.6545454545454543,0.3363636363636363,0.6909090909090909
MUFL,13,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.7636363636363637,7.872727272727273,1.6545454545454543,0.3363636363636363,0.6909090909090909
MUFL,14,global_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.7636363636363637,7.872727272727273,1.6545454545454543,0.3363636363636363,0.6909090909090909
MULL,1,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.5181818181818182,4.545454545454546,4.181818181818182,0.1,0.3636363636363636
MULL,2,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4636363636363636,4.654545454545454,4.290909090909091,0.109090909090909,0.3636363636363636
MULL,3,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4181818181818181,5.1,4.681818181818182,0.1272727272727272,0.2818181818181818
MULL,4,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3545454545454545,6.836363636363636,5.836363636363636,0.1272727272727272,0.2636363636363636
MULL,5,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3272727272727272,5.836363636363636,5.4,0.109090909090909,0.2272727272727272
MULL,6,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3545454545454545,5.7727272727272725,5.354545454545455,0.1,0.2636363636363636
MULL,7,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3636363636363636,5.890909090909091,5.363636363636363,0.0818181818181818,0.2727272727272727
MULL,8,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3818181818181818,6.009090909090909,5.463636363636364,0.0818181818181818,0.2727272727272727
MULL,9,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3545454545454545,5.9,5.372727272727273,0.0909090909090909,0.2727272727272727
MULL,10,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3727272727272727,5.863636363636363,5.427272727272728,0.0636363636363636,0.2272727272727272
MULL,11,median_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3454545454545454,5.863636363636363,5.427272727272728,0.0727272727272727,0.2272727272727272
MULL,12,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.3818181818181818,6.6909090909090905,5.527272727272727,0.1272727272727272,0.2454545454545454
MULL,13,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4272727272727272,6.263636363636364,5.172727272727273,0.1454545454545454,0.3
MULL,14,mode_last_4,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.4454545454545454,6.372727272727273,5.281818181818182,0.1363636363636363,0.3181818181818182
OT,1,weekday_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.6545454545454545,3.4454545454545453,2.863636363636364,0.1363636363636363,0.5181818181818182
OT,2,weekday_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.6636363636363637,3.390909090909091,2.809090909090909,0.1454545454545454,0.5272727272727272
OT,3,weekday_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.6636363636363637,3.381818181818182,2.8,0.1545454545454545,0.5272727272727272
OT,4,weekday_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.6636363636363637,3.372727272727273,2.790909090909091,0.1545454545454545,0.5363636363636364
OT,5,weekday_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.6636363636363637,3.372727272727273,2.790909090909091,0.1545454545454545,0.5363636363636364
OT,6,weekday_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.6545454545454545,3.4727272727272727,2.872727272727273,0.1545454545454545,0.5363636363636364
OT,7,weekday_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.6545454545454545,3.481818181818182,2.881818181818182,0.1545454545454545,0.5272727272727272
OT,8,weekday_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.6636363636363637,3.4272727272727272,2.827272727272727,0.1545454545454545,0.5363636363636364
OT,9,weekday_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.6727272727272727,3.345454545454545,2.7454545454545456,0.1545454545454545,0.5363636363636364
OT,10,weekday_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.6818181818181818,3.3181818181818183,2.7181818181818183,0.1636363636363636,0.5454545454545454
OT,11,weekday_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.6818181818181818,3.3181818181818183,2.7181818181818183,0.1636363636363636,0.5454545454545454
OT,12,weekday_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.6818181818181818,3.3363636363636364,2.7363636363636363,0.1545454545454545,0.5363636363636364
OT,13,weekday_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.6818181818181818,3.345454545454545,2.7454545454545456,0.1545454545454545,0.5272727272727272
OT,14,weekday_mode,"±2h 命中率, then 普通小时误差",验证集 target_variable_horizon 层级内 ±2h 命中率最高；并列时普通小时误差最低,110.0,0.6818181818181818,3.463636363636364,2.790909090909091,0.1545454545454545,0.5272727272727272
